Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6710719,-,b'Salta',b'Argentina',-24.76,-65.39,-3,1293,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,Temperature,DHI,GHI,DNI
2019,1,3,1,30,0,23.5,0,0,0
2019,1,3,1,40,0,23.400000000000002,0,0,0
2019,1,3,1,50,0,23.3,0,0,0
2019,1,3,2,0,0,23.200000000000003,0,0,0
2019,1,3,2,10,0,23.1,0,0,0
2019,1,3,2,20,0,23,0,0,0
2019,1,3,2,30,0,22.900000000000002,0,0,0
2019,1,3,2,40,0,22.8,0,0,0
2019,1,3,2,50,0,22.700000000000003,0,0,0
2019,1,3,3,0,0,22.6,0,0,0
2019,1,3,3,10,0,22.5,0,0,0
2019,1,3,3,20,0,22.5,0,0,0
2019,1,3,3,30,0,22.5,0,0,0
2019,1,3,3,40,0,22.400000000000002,0,0,0
2019,1,3,3,50,0,22.400000000000002,0,0,0
2019,1,3,4,0,0,22.400000000000002,0,0,0
2019,1,3,4,10,0,22.3,0,0,0
2019,1,3,4,20,0,22.3,0,0,0
2019,1,3,4,30,0,22.3,0,0,0
2019,1,3,4,40,0,22.3,0,0,0
2019,1,3,4,50,0,22.3,0,0,0
2019,1,3,5,0,0,22.3,0,0,0
2019,1,3,5,10,0,22.200000000000003,0,0,0
2019,1,3,5,20,0,22.200000000000003,0,0,0
2019,1,3,5,30,0,22.1,0,0,0
2019,1,3,5,40,0,22.1,0,0,0
2019,1,3,5,50,0,22,0,0,0
2019,1,3,6,0,0,21.900000000000002,0,0,0
2019,1,3,6,10,0,22.1,0,0,0
2019,1,3,6,20,0,22.200000000000003,0,0,0
2019,1,3,6,30,0,22.400000000000002,0,0,0
2019,1,3,6,40,0,22.5,0,0,0
2019,1,3,6,50,18,22.6,9,9,0
2019,1,3,7,0,38,22.8,4,4,0
2019,1,3,7,10,64,22.900000000000002,3,3,0
2019,1,3,7,20,94,23.1,3,3,0
2019,1,3,7,30,126,23.200000000000003,3,3,0
2019,1,3,7,40,158,23.400000000000002,4,4,0
2019,1,3,7,50,194,23.5,4,4,0
2019,1,3,8,0,231,23.700000000000003,5,5,0
2019,1,3,8,10,269,23.6,6,6,0
2019,1,3,8,20,307,23.5,6,6,0
2019,1,3,8,30,346,23.400000000000002,7,7,0
2019,1,3,8,40,381,23.3,186,218,74
2019,1,3,8,50,420,23.3,205,242,79
2019,1,3,9,0,458,23.200000000000003,32,32,0
2019,1,3,9,10,496,22.900000000000002,13,13,0
2019,1,3,9,20,534,22.700000000000003,14,14,0
2019,1,3,9,30,571,22.5,15,15,0
2019,1,3,9,40,612,22.200000000000003,16,16,0
2019,1,3,9,50,648,22,18,18,0
2019,1,3,10,0,682,21.8,23,23,0
2019,1,3,10,10,716,21.700000000000003,39,39,0
2019,1,3,10,20,749,21.700000000000003,42,42,0
2019,1,3,10,30,780,21.6,27,27,0
2019,1,3,10,40,813,21.6,37,37,0
2019,1,3,10,50,843,21.6,40,40,0
2019,1,3,11,0,870,21.5,59,59,0
2019,1,3,11,10,896,21.6,43,43,0
2019,1,3,11,20,920,21.6,46,46,0
2019,1,3,11,30,943,21.6,57,57,0
2019,1,3,11,40,961,21.700000000000003,61,61,0
2019,1,3,11,50,981,21.700000000000003,63,63,0
2019,1,3,12,0,998,21.700000000000003,71,71,0
2019,1,3,12,10,1015,21.8,79,79,0
2019,1,3,12,20,1029,21.8,81,81,0
2019,1,3,12,30,1040,21.8,107,107,0
2019,1,3,12,40,1051,21.900000000000002,133,136,3
2019,1,3,12,50,1060,21.900000000000002,135,138,3
2019,1,3,13,0,1066,22,149,155,6
2019,1,3,13,10,1071,21.900000000000002,169,179,10
2019,1,3,13,20,1074,21.900000000000002,170,180,10
2019,1,3,13,30,1074,21.900000000000002,204,217,14
2019,1,3,13,40,1075,21.900000000000002,206,220,14
2019,1,3,13,50,1071,21.900000000000002,204,218,14
2019,1,3,14,0,1067,21.900000000000002,209,223,14
2019,1,3,14,10,1059,21.8,255,272,17
2019,1,3,14,20,1050,21.8,251,267,16
2019,1,3,14,30,1038,21.700000000000003,317,336,19
2019,1,3,14,40,1025,21.700000000000003,308,326,19
2019,1,3,14,50,1010,21.700000000000003,300,318,18
2019,1,3,15,0,993,21.6,372,396,26
2019,1,3,15,10,974,21.6,290,307,18
2019,1,3,15,20,954,21.6,281,296,17
2019,1,3,15,30,932,21.6,257,271,16
2019,1,3,15,40,907,21.6,284,299,18
2019,1,3,15,50,881,21.6,271,285,17
2019,1,3,16,0,854,21.6,192,201,10
2019,1,3,16,10,826,21.6,233,243,13
2019,1,3,16,20,796,21.6,220,229,12
2019,1,3,16,30,765,21.6,298,318,27
2019,1,3,16,40,733,21.6,339,385,64
2019,1,3,16,50,699,21.6,320,361,59
2019,1,3,17,0,664,21.6,330,414,128
2019,1,3,17,10,628,21.5,300,352,83
2019,1,3,17,20,592,21.400000000000002,280,326,76
2019,1,3,17,30,555,21.3,272,337,115
2019,1,3,17,40,517,21.200000000000003,220,238,34
2019,1,3,17,50,479,21.200000000000003,201,215,29
2019,1,3,18,0,440,21.1,153,155,4
2019,1,3,18,10,401,20.900000000000002,65,65,0
2019,1,3,18,20,361,20.700000000000003,57,57,0
2019,1,3,18,30,322,20.5,130,133,8
2019,1,3,18,40,283,20.3,71,71,0
2019,1,3,18,50,245,20.1,60,60,0
2019,1,3,19,0,207,19.900000000000002,59,59,0
2019,1,3,19,10,170,19.700000000000003,44,44,0
2019,1,3,19,20,134,19.5,28,28,0
2019,1,3,19,30,101,19.3,35,35,0
2019,1,3,19,40,71,19.1,31,31,0
2019,1,3,19,50,44,18.900000000000002,20,20,0
2019,1,3,20,0,22,18.7,11,11,0
2019,1,3,20,10,0,18.7,0,0,0
2019,1,3,20,20,0,18.7,0,0,0
2019,1,3,20,30,0,18.7,0,0,0
2019,1,3,20,40,0,18.7,0,0,0
2019,1,3,20,50,0,18.7,0,0,0
2019,1,3,21,0,0,18.400000000000002,0,0,0
2019,1,3,21,10,0,18.400000000000002,0,0,0
2019,1,3,21,20,0,18.400000000000002,0,0,0
2019,1,3,21,30,0,18.400000000000002,0,0,0
2019,1,3,21,40,0,18.400000000000002,0,0,0
2019,1,3,21,50,0,18.400000000000002,0,0,0
2019,1,3,22,0,0,18.400000000000002,0,0,0
2019,1,3,22,10,0,18.5,0,0,0
2019,1,3,22,20,0,18.5,0,0,0
2019,1,3,22,30,0,18.5,0,0,0
2019,1,3,22,40,0,18.5,0,0,0
2019,1,3,22,50,0,18.6,0,0,0
2019,1,3,23,0,0,18.6,0,0,0
2019,1,3,23,10,0,18.6,0,0,0
2019,1,3,23,20,0,18.6,0,0,0
2019,1,3,23,30,0,18.6,0,0,0
2019,1,3,23,40,0,18.6,0,0,0
2019,1,3,23,50,0,18.6,0,0,0
2019,1,4,0,0,0,18.6,0,0,0
2019,1,4,0,10,0,18.6,0,0,0
2019,1,4,0,20,0,18.6,0,0,0
2019,1,4,0,30,0,18.6,0,0,0
2019,1,4,0,40,0,18.6,0,0,0
2019,1,4,0,50,0,18.6,0,0,0
2019,1,4,1,0,0,18.6,0,0,0
2019,1,4,1,10,0,18.6,0,0,0
2019,1,4,1,20,0,18.5,0,0,0
2019,1,4,1,30,0,18.5,0,0,0
2019,1,4,1,40,0,18.5,0,0,0
2019,1,4,1,50,0,18.400000000000002,0,0,0
2019,1,4,2,0,0,18.400000000000002,0,0,0
2019,1,4,2,10,0,18.400000000000002,0,0,0
2019,1,4,2,20,0,18.400000000000002,0,0,0
2019,1,4,2,30,0,18.400000000000002,0,0,0
2019,1,4,2,40,0,18.5,0,0,0
2019,1,4,2,50,0,18.5,0,0,0
2019,1,4,3,0,0,18.5,0,0,0
2019,1,4,3,10,0,18.5,0,0,0
2019,1,4,3,20,0,18.6,0,0,0
2019,1,4,3,30,0,18.7,0,0,0
2019,1,4,3,40,0,18.7,0,0,0
2019,1,4,3,50,0,18.8,0,0,0
2019,1,4,4,0,0,18.900000000000002,0,0,0
2019,1,4,4,10,0,18.8,0,0,0
2019,1,4,4,20,0,18.7,0,0,0
2019,1,4,4,30,0,18.7,0,0,0
2019,1,4,4,40,0,18.6,0,0,0
2019,1,4,4,50,0,18.5,0,0,0
2019,1,4,5,0,0,18.5,0,0,0
2019,1,4,5,10,0,18.3,0,0,0
2019,1,4,5,20,0,18.2,0,0,0
2019,1,4,5,30,0,18.1,0,0,0
2019,1,4,5,40,0,18,0,0,0
2019,1,4,5,50,0,17.8,0,0,0
2019,1,4,6,0,0,17.7,0,0,0
2019,1,4,6,10,0,17.900000000000002,0,0,0
2019,1,4,6,20,0,18,0,0,0
2019,1,4,6,30,0,18.1,0,0,0
2019,1,4,6,40,0,18.3,0,0,0
2019,1,4,6,50,18,18.400000000000002,7,7,0
